Name,Country,Position,Goals,Assists,Tackles,Saves,Club,League,League_Website
Lautaro Martinez,Argentina,FW,0,0,0,0,Inter Milan,Unknown,Unknown
Lionel Messi,Argentina,FW,0,0,0,0,Paris Saint-Germain,Unknown,Unknown
Angel Correa,Argentina,FW,0,0,0,0,Atletico Madrid,Unknown,Unknown
Mohamed Al-Owais,Saudi Arabia,GK,0,0,0,0,Al-Hilal,Unknown,Unknown
Nawaf Al-Aqidi,Saudi Arabia,GK,0,0,0,0,Al-Nassr,Unknown,Unknown
Mohamed Al-Yami,Saudi Arabia,GK,0,0,0,0,Al-Ahly,Unknown,Unknown
Yasser Al-Shahrani,Saudi Arabia,DF,0,0,0,0,Al-Hilal,Unknown,Unknown
Ali Al-Bulaihi,Saudi Arabia,DF,0,0,0,0,Al-Hilal,Unknown,Unknown
Abdulelah Al-Amri,Saudi Arabia,DF,0,0,0,0,Al-Nassr,Unknown,Unknown
Abdullah Madu,Saudi Arabia,DF,0,0,0,0,Al-Nassr,Unknown,Unknown
Hassan Tambakti,Saudi Arabia,DF,0,0,0,0,Al-Shabab,Unknown,Unknown
Sultan Al-Ghanam,Saudi Arabia,DF,0,0,0,0,Al-Nassr,Unknown,Unknown
Mohammed Al-Breik,Saudi Arabia,DF,0,0,0,0,Al-Hilal,Unknown,Unknown
Saud Abdulhamid,Saudi Arabia,DF,0,0,0,0,Al-Hilal,Unknown,Unknown
Salman Al-Faraj,Saudi Arabia,MF,0,0,0,0,Al-Hilal,Unknown,Unknown
Riyadh Sharahili,Saudi Arabia,MF,0,0,0,0,Abha,Unknown,Unknown
Ali Al-Hassan,Saudi Arabia,MF,0,0,0,0,Al-Nassr,Unknown,Unknown
Mohamed Kanno,Saudi Arabia,MF,0,0,0,0,Al-Hilal,Unknown,Unknown
Abdulelah Al-Malki,Saudi Arabia,MF,0,0,0,0,Al-Hilal,Unknown,Unknown
Sami Al-Najei,Saudi Arabia,MF,0,0,0,0,Al-Nassr,Unknown,Unknown
Abdullah Otayf,Saudi Arabia,MF,0,0,0,0,Al-Hilal,Unknown,Unknown
Nasser Al-Dawsari,Saudi Arabia,MF,0,0,0,0,Al-Hilal,Unknown,Unknown
Abdulrahman Al-Aboud,Saudi Arabia,MF,0,0,0,0,Ittihad,Unknown,Unknown
Salem Al-Dawsari,Saudi Arabia,MF,0,0,0,0,Al-Hilal,Unknown,Unknown
Hattan Bahebri,Saudi Arabia,MF,0,0,0,0,Al-Shabab,Unknown,Unknown
